Bairro,Link,Aluguel Cheio,Aluguel com Bonificação,Condomínio,IPTU,Total / Mês,Dormitórios
Parque Santa Monica,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Santa-Monica/234324,"2.361,25","1.889,00","427,00","68,00",2384.0,2
Vila Monteiro Gleba I,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Vila-Monteiro-Gleba-I/234285,"900,00",,"550,00","134,69",1584.69,2
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/234284,"1.390,00","1.112,00","367,00","43,09",1522.09,1
Jardim Jockei Club A,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Jockei-Club-A/234259,"1.500,00","1.200,00","331,00",,1531.0,2
Jardim Jockei Club A,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Jockei-Club-A/234237,"1.250,00","1.000,00","226,97","49,59",1276.56,2
Jardim Lutfalla,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/234170,"2.500,00","2.000,00","190,00","73,79",2263.79,1
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/234127,"2.083,75","1.667,00","835,00","206,00",2708.0,3
Parque Arnold Schimidt,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/234087,"2.937,50","2.350,00","401,99",,2751.99,1
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/233984,"2.931,25","2.345,00","401,00","80,00",2826.0,1
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/233983,"2.083,75","1.667,00","365,00","45,00",2077.0,1
Parque Arnold Schimidt,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/233974,"2.875,00","2.300,00","401,99",,2701.99,1
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/210977,"1.806,25","1.445,00","405,52","39,00",1889.52,1
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/210832,"1.390,00","1.112,00","420,00",,1532.0,1
Parque Santa Monica,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Parque-Santa-Monica/210781,"2.361,25","1.889,00","450,00","90,00",2429.0,3
Centro,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Centro/210657,"1.625,00","1.300,00","208,21","28,04",1536.25,1
